ITZ_GEOID,pop_density,percent_non_hispanic_or_latino_white_alone,percent_non_hispanic_black_alone,percent_hispanic_any_race,percent_non_hispanic_asian_alone,median_age,per_capita_income,resid_unit_density,percent_multi_family_units,percent_occupied_housing_units,median_gross_rent,median_home_value,percent_households_with_people_under_18,percent_of_households_in_same_house_year_ago,percent_bachelor_degree_or_higher,percent_car_commuters,percent_public_transport_commuters,percent_public_transport_trips_under_45_min,percent_car_trips_under_45_min
SI231,95793.46834158506,17.2,33.2,35.2,14.0,34.0,23487.0,27180.216472204855,34.400000000000006,91.1,1828.0,363800.0,49.9,92.8,23.2,51.568381430363864,33.333333333333336,3.1242158092848182,9.910786699107867
SI239,78591.3199046892,24.4,18.6,51.0,2.8,34.7,24109.0,24538.115194742048,48.099999999999994,82.5,1208.0,373200.0,54.5,95.1,18.2,52.96535525543159,38.28537874339401,6.1503067484662575,16.24168514412417
SI247,66552.97715692599,25.0,21.1,35.9,14.5,30.6,28522.0,23540.28149939366,53.4,92.0,1377.0,397400.0,44.9,87.4,23.2,69.14203316510454,25.378514780100936,8.380681818181818,16.558915537017725
SI248,31777.396524364834,81.4,0.4,12.5,5.2,39.4,39034.0,11370.241304510775,30.099999999999998,94.7,1492.0,638700.0,39.8,94.2,32.0,76.36363636363636,18.39323467230444,3.6551724137931036,7.447397563676634
SI251,56037.421462498845,65.1,2.8,12.4,15.8,42.4,44181.0,20504.622757727557,21.299999999999997,98.0,1714.0,522700.0,27.8,95.3,43.6,71.28060263653484,26.020087884494664,0.6634499396863691,6.737120211360634
SI273.01,13393.802260248562,54.6,0.9,9.1,30.4,46.9,40589.0,5797.370253841063,24.299999999999997,91.8,1552.0,468700.0,29.9,96.1,37.3,59.748010610079575,37.6657824933687,2.1830985915492955,10.34406215316315
SI273.02,43119.577592235386,73.8,0.2,5.7,19.5,29.8,29168.0,14868.819859391511,50.60000000000001,86.5,1344.0,627600.0,45.6,86.5,47.9,82.23062381852552,13.48456206679269,6.308411214953271,11.555555555555557
SI303.01,74917.95081714341,37.4,8.9,31.5,18.1,41.2,34665.0,28779.824227824607,30.099999999999994,96.1,1558.0,386600.0,27.5,95.9,29.6,64.82180293501048,27.88259958071279,3.142857142857143,9.579560155239328
SI277.02,51129.27543926355,62.0,1.6,19.4,16.5,40.7,35268.0,22712.583983029886,53.400000000000006,97.3,1665.0,346000.0,28.7,88.9,36.4,63.925233644859816,30.498442367601246,1.675178753830439,7.875243664717349
SI279,4555.069483239961,80.0,1.4,8.1,10.0,55.8,48786.0,1393.822523262701,15.999999999999995,93.4,1204.0,843300.0,30.4,89.2,35.5,83.63171355498721,12.020460358056265,5.638297872340425,16.605504587155963
