ITZ_GEOID,orig_pop_density,orig_percent_non_hispanic_or_latino_white_alone,orig_percent_non_hispanic_black_alone,orig_percent_hispanic_any_race,orig_percent_non_hispanic_asian_alone,orig_median_age,orig_per_capita_income,orig_resid_unit_density,orig_percent_multi_family_units,orig_percent_occupied_housing_units,orig_median_gross_rent,orig_median_home_value,orig_percent_households_with_people_under_18,orig_percent_of_households_in_same_house_year_ago,orig_percent_bachelor_degree_or_higher,orig_percent_car_commuters,orig_percent_public_transport_commuters,orig_percent_public_transport_trips_under_45_min,orig_percent_car_trips_under_45_min
QN1267,51834.80993474137,33.9,11.4,17.8,39.9,21.5,19369.0,10344.833999782964,14.599999999999998,93.3,1319.0,569000.0,45.0,66.1,45.2,47.93672627235213,28.335625859697387,4.490291262135922,20.34433285509326
QN665.01,112551.54785442138,96.4,2.3,6.8,0.0,46.4,34476.0,50485.815257346105,77.8,91.1,1453.0,615400.0,28.1,89.5,24.7,58.41392649903288,33.26885880077369,5.038759689922481,18.598233995584987
QN667.01,119946.96476596603,90.5,0.0,9.1,2.9,41.1,34314.0,44634.39731802,50.7,95.6,1389.0,578900.0,34.7,97.0,30.5,60.573199070487995,32.84275755228505,8.679245283018869,21.317135549872123
QN669,131846.89295211164,96.7,0.7,18.3,2.5,44.1,26043.0,47400.3363239361,40.0,96.9,1309.0,637900.0,31.5,88.4,27.2,78.07881773399015,20.320197044334975,40.060606060606055,21.90851735015773
QN677,101125.29240180245,95.4,0.0,3.5,3.3,46.5,41761.0,42487.672938135656,35.099999999999994,93.7,1386.0,624600.0,27.8,95.1,30.9,59.00423728813559,39.72457627118644,14.293333333333333,29.838420107719926
QN679,175694.84260529536,73.5,3.9,34.2,11.1,47.2,25121.0,71386.69090321951,80.2,94.9,1084.0,569200.0,22.0,86.0,33.6,36.42458100558659,56.03351955307262,3.9980059820538383,22.82208588957055
QN1579.03,61685.55646972201,58.8,0.0,6.7,34.9,43.7,32387.0,23703.536166284044,26.8,93.1,1183.0,484400.0,28.0,95.8,34.1,60.879629629629626,29.074074074074073,1.3216560509554143,11.650190114068442
QN1617,67931.63716071381,69.7,0.7,18.8,18.1,41.5,35627.0,22862.34142720905,17.4,94.0,1322.0,489100.0,36.7,93.0,34.0,73.58490566037736,22.51286449399657,3.8476190476190477,9.213286713286715
QN1621,98647.1798579379,23.0,10.8,22.3,46.8,40.3,25606.0,31742.080123077456,55.8,91.0,1404.0,493600.0,49.3,85.7,41.0,78.23797823797824,20.32292032292032,2.867012089810017,5.388066397487663
QN972.02,45894.496953196736,9.3,88.1,21.4,0.0,24.6,9704.0,23132.97260995213,99.7,83.0,901.0,,45.3,84.1,8.4,33.81014304291288,61.378413524057216,3.09322033898305,36.03846153846154
QN769.01,233391.42533804942,66.2,2.3,9.6,20.5,40.8,53611.0,136793.1427064019,96.5,88.2,1448.0,283800.0,24.1,90.7,62.0,16.01061477222468,67.49226006191951,3.4076015727391873,
QN1072.02,0.0,,,,,,,0.0,,,,,,,,,,,
QN125,136306.76516222383,74.0,2.7,28.5,6.5,33.2,27657.0,59006.39370370549,87.8,91.3,1483.0,658600.0,21.5,87.8,42.9,21.286231884057973,66.03260869565217,6.735253772290809,78.38297872340425
QN294,67400.61397288163,3.1,82.3,13.9,3.3,35.3,23261.0,23141.14717436272,73.6,93.3,1179.0,453100.0,40.5,86.4,24.2,59.15822291504287,35.42478565861263,2.277227722772277,10.079051383399207
QN613.01,75566.6851680583,83.3,1.1,23.5,8.4,36.4,27217.0,30802.621268623927,94.7,90.4,1162.0,609000.0,37.9,93.3,22.3,33.17778814745684,59.4493700419972,2.912087912087912,21.406469760900137
QN657.03,106030.72320066082,97.5,0.2,16.9,0.0,43.3,33065.0,41236.40735187112,55.9,96.1,1352.0,539000.0,34.6,97.2,26.2,46.506024096385545,45.94377510040161,6.083916083916085,26.977547495682206
QN723,50195.06533993465,60.6,1.3,3.3,35.2,49.6,78103.0,20174.20281226388,24.699999999999996,96.6,1788.0,996600.0,19.4,93.2,80.1,40.01986097318768,41.70804369414101,8.380952380952381,37.61786600496278
QN849,228267.06588736802,12.7,3.7,15.0,76.2,40.1,22607.0,87117.78844286175,95.5,92.4,1247.0,457900.0,25.0,73.1,11.9,20.644990748083533,54.58630716362675,2.290556900726392,14.340588988476313
QN869,31595.056527858582,10.2,3.5,16.6,71.3,32.6,21224.0,13860.09555231532,92.2,85.6,1511.0,353500.0,28.9,70.9,20.7,34.06374501992032,44.02390438247012,4.728506787330317,53.59649122807018
QN33,45104.61959747457,35.9,6.4,30.0,46.9,28.6,21169.0,17872.440817027484,90.4,82.0,1492.0,505000.0,36.3,69.0,39.1,34.41682600382409,58.604206500956025,14.551386623164763,29.805555555555557
QN85,37017.15430952774,42.9,5.3,59.4,2.8,27.5,15820.0,15413.958823243178,76.2,70.8,1424.0,545500.0,40.1,80.6,20.3,26.464208242950107,36.44251626898048,25.178571428571427,
BX151,288720.91726095305,13.7,47.6,59.4,0.0,31.4,13343.0,100710.62428038228,94.3,90.3,1038.0,417800.0,50.6,92.3,8.7,24.520884520884522,55.42997542997543,2.3049645390070923,27.25450901803607
BX376,217679.06787736405,13.0,65.6,20.9,8.0,32.0,16464.0,69180.19691444995,86.69999999999999,80.7,1064.0,462500.0,56.2,92.2,29.8,24.29193899782135,61.546840958605664,3.469026548672567,84.1255605381166
BX248,143230.12468467586,52.8,5.6,26.7,18.8,41.5,29278.0,47756.28548842762,74.8,98.1,1162.0,512200.0,24.9,85.2,31.4,48.36383804769828,44.315030504714365,4.493116395494368,21.525229357798164
BX233.01,400629.6087129654,4.8,41.7,60.3,0.8,33.7,14704.0,143241.87127167475,97.4,90.9,1012.0,171600.0,38.3,87.8,13.8,36.04178757980267,51.8282066163668,3.3258678611422168,25.829307568438004
BX194,22959.573966280885,38.0,21.8,54.4,3.3,31.5,25983.0,9046.170470654566,72.8,96.9,1615.0,445500.0,38.3,75.8,24.3,66.06397774687065,33.10152990264256,11.470588235294118,40.98947368421052
BX456,40736.18591206242,21.0,57.0,28.1,2.6,40.1,24369.0,14009.592142193262,58.7,93.7,1278.0,460300.0,33.5,96.2,25.2,45.36157779401022,52.66617969320672,2.2330097087378644,28.051529790660226
BX50.01,511645.59009645245,15.5,39.9,72.4,0.0,27.8,14094.0,176926.23134863356,92.2,93.2,1070.0,436000.0,50.5,83.3,6.7,18.75,76.94954128440367,2.1013412816691504,31.009174311926607
BX50.02,496515.26614686736,13.3,19.9,80.7,0.5,25.9,11851.0,176152.35175062064,99.2,84.2,903.0,588100.0,44.6,78.8,6.8,16.863636363636363,74.5,2.14765100671141,33.42318059299191
BX53,578300.070012101,9.0,59.6,39.7,0.0,30.6,12292.0,298601.4765935059,100.0,83.4,688.0,,41.4,87.9,17.8,18.21668264621285,78.33173537871525,3.0722154222766216,81.52631578947368
BX230,212667.31020384727,26.3,8.9,75.8,4.4,31.7,16567.0,73072.73091157916,79.0,95.6,1110.0,497300.0,37.8,82.6,12.1,33.244680851063826,55.93971631205674,3.5816164817749603,37.86666666666667
BX132,112182.82077099242,50.7,11.7,54.1,1.7,38.5,33200.0,43962.81424963474,56.900000000000006,90.9,1339.0,453700.0,29.5,88.5,24.2,67.7938808373591,25.829307568438004,3.2044887780548628,8.608076009501188
BX79,335648.23468869866,25.1,31.7,79.8,0.0,28.6,10256.0,132040.49154636427,93.8,90.5,509.0,435400.0,43.0,82.1,6.2,20.893719806763286,72.58454106280193,4.284525790349417,53.93063583815028
BX89,320301.8416349435,19.8,21.2,73.3,0.2,27.6,11191.0,117706.01419590869,95.2,92.5,697.0,329800.0,47.9,88.6,2.7,23.41650671785029,46.161228406909785,9.18918918918919,36.0655737704918
BX216.01,255165.91144984358,22.7,19.5,72.1,4.9,30.5,13223.0,110012.43561480923,97.30000000000001,89.3,1071.0,144200.0,47.9,79.3,9.3,15.716180371352785,72.81167108753316,2.4316939890710385,77.21518987341773
BX38,293220.0780740125,14.0,46.7,52.5,0.1,26.0,16813.0,72838.10856615598,69.4,98.6,1115.0,470800.0,55.3,75.2,25.8,54.99058380414313,38.4180790960452,12.450980392156863,65.54794520547945
